Interface,Dataset,Tasks,Source,Retrieval Method,Tool Schema,Difficulty Level,Scale,Metrics
API,ToolBench[5],EKI,"SCD, SGD",Dense,Custom,Medium,~126k,"Pass Rate, Win Rate"
API,HuggingGPT[27],"MM, PDT","SCD, SGD",-,Custom,High,~3.5k,"Accuracy, F1"
API,RestBench[66],EKI,SCD,-,OpenAPI,Medium,~157,"Correct Path Rate, Success Rate"
API,ShortcutsBench[67],ET,SCD,-,Custom,High,~7.6k,"API Selection Accuracy, Static Params Accuracy"
API,ToolQA[68],EKI,"SCD, SGD",-,Custom,High,~1.5k,"Success Rate, Accuracy"
API,StableToolBench[69],EKI,"PD, SCD, SGD",-,Custom,High,~1.1k,"SoPR, SoWR"
API,MetaTool[70],PDT,"SCD, SGD",-,Custom,Medium,~21k,"Accuracy, CSR"
API,APIBench[26],PDT,"SCD, SGD","BM25, GPT-Index",Custom,Low,~16k,"AST Accuracy, Hallucination Error"
API,ToolSandbox[71],ET,SGD,-,Custom,Medium,~1k,"Similarity Score, Turn Count"
API,Task Bench[72],MM,"SCD, SGD",-,Custom,High,~17k,"Rouge-L, Node F1"
API,WTU-Eval[73],EKI,PD,-,Custom,Medium,~1.4k,"Accuracy, Call Rate"
API,API-BLEND[74],EKI,"PD, SGD",-,Custom,Medium,~190k,"API-F1, Parameter-F1"
API,Seal-Tools[75],EKI,SGD,Dense,Custom,Medium,~14k,"Tool F1, Parameter F1"
API,GeoLLM-QA[76],"MM, PDT, ET","PD, SGD",-,Custom,Medium,~1k,"Success Rate, Correctness Ratio"
API,T-Eval[77],EKI,"SCD, SGD",-,Custom,Medium,~23k,"Plan F1, Win Rate",,,,
API,UltraTool[78],EKI,"SCD, SGD",-,Custom,Medium,~6k,"Key-Value Accuracy, Levenshtein Distance"
API,ToolEyes[79],EKI,SCD,-,Custom,Medium,~400,"s_overall, Tool Selection Score"
API,CToolEval[80],EKI,"SCD, SGD",Dense,Custom,High,~6.8k,"Tool Matching Rate, Accuracy"
API,AppWorld[81],ET,SGD,-,OpenAPI,High,~750,"TGC, SGC"
API,ToolTalk[52],ET,SGD,-,Custom,High,~80,"Success Rate, Precision"
API,API-Bank[82],EKI,"SCD, SGD",Dense,Custom,Medium,~2.2k,"Accuracy, ROUGE-L"
API,RoTBench[83],EKI,SCD,-,Custom,Medium,~0.8k,"TSS, PIS"
API,ToolSword[84],EKI,"PD, SCD",-,Custom,Medium,~440,"ASR, Tool Selection Error Rate"
API,ToolEmu[85],ET,SGD,-,Custom,Medium,~140,"Safety Score, Helpfulness Score"
API,ToolLens[86],EKI,SCD,Dense,Custom,Medium,~18.8k,"Recall@K, NDCG@K"
API,m & m's [87],"MM, EKI","SCD, SGD",-,Custom,Medium,~4.4k,"tool-F1, argname-F1"
API,VIoT[88],"MM, PDT",PD,-,Custom,Medium,~202k,"Decision Accuracy, Tool Name Accuracy"
API,BFCL [89],"EKI, PDT, ET","SCD, SGD",Dense,Custom,High,~5.5k,"AST Matching, Execution Matching, State-Based Evaluation"
API,ComplexFuncBench [90],"EKI, ET","SCD, SGD",-,Custom,High,~1k,"Success Rate, Call Accuracy, Completeness, Correctness"
API,MCP-Universe [91],"EKI, PDT, ET",SCD,-,JSON-RPC,High,~231,"Success Rate, AE, AS"
API,LiveMCPBench [92],"EKI, ET","SCD, SGD",-,JSON-RPC,High,~100,Success Rate
API,ToolACE [35],"EKI, ET","SCD, SGD",-,Custom,High,~180k,"Accuracy, Irrelevance, Relevance"
API,xLAM [34],"EKI, ET","SCD, SGD",-,Custom,Medium,~60k,"Success Rate, Pass Rate, Executable Accuracy"
API,NexusRaven-V2 [93],"EKI, PDT","PD, SCD",-,Custom,Medium,-,"Accuracy, Function Calling, Success Rate"
API,ToolGen [29],"EKI, ET",PD,-,Custom,High,~500k,"NDCG, SoPR, SoWR"
Auxiliary,WTQ [94],EKI,SCD,N/A,N/A,Medium,~22k,"accuracy, oracle score"
Auxiliary,OpenCodeInstruct [95],PDT,"SCD, SGD",N/A,N/A,Medium,~5M,Pass@1
Auxiliary,Spider [96],PDT,SCD,N/A,N/A,High,~10k,"Component Matching, Exact Matching, Execution Accuracy"
