,,Tool Use,,Knowledge-intensive Task,,,Multimodal Task,,,Domain-specific Task,,Embodied Task,
Venue/Year,Method,Tool Size,Complex,Web,Realtime,Database,Image,Video,Table,Disciplinary,CompInt,EmbWeb,Robo
ArXiv 2022,MRKL Systems [18],1,,,✓,✓,,,,,✓,,
NeurIPS 2022,WebShop [19],1,,✓,,,✓,,,,,✓,
CVPR 2023,VisProg [17],>10,✓,,,,✓,,,,,,
ICCV 2023,ViperGPT [20],9,✓,,,,✓,✓,,,,,
ArXiv 2023,Voyager [21],8,✓,,,✓,,,,,,,
NeurIPS 2023,Toolformer [16],5,✓,✓,✓,,,,,,,,
ICLR 2023,ReAct [4],5,✓,✓,✓,,,,,,,✓,
OpenAI 2023,GPT-4 * [22],6,✓,,,,✓,,,✓,,,
NeurIPS 2024,GPT4Tools [23],>10,✓,,,,✓,,,,,,
NeurIPS 2024,Chameleon [24],>10,✓,✓,-,,✓,,✓,✓,✓,,
NatureMI 2024,ChemCrow [25],>10,✓,✓,,,,,,✓,✓,,✓
NeurIPS 2024,Gorilla [26],>10,,,,,,,,✓,,,
ICLR 2024,ToolLLM [5],>10,✓,,,,,,,,-,,
NeurIPS 2024,HuggingGPT [27],>10,✓,,,,✓,✓,✓,✓,-,,
ArXiv 2025,TxAgent [28],>10,✓,-,✓,✓,,,,✓,,,
ICLR 2025,ToolGen [29],>10,✓,✓,✓,,,,,,,,
ICAIF 2025,GIS [30],>10,✓,,,,✓,,✓,✓,✓,,
ICLR 2025,T3-Agent [31],9,✓,✓,,,✓,,✓,✓,,,
ICLR 2025,AgentTrek [32],>10,✓,,,,✓,✓,,,,✓,
ECCV 2025,ControlLLM [33],>10,✓,,,,✓,✓,,,,,
NAACL 2025,xLAM [34],>10,✓,✓,✓,,,,,,,✓,
ICLR 2025,ToolACE [35],>10,,,,,,,,,,,
NAACL 2025,EasyTool [36],>10,✓,✓,-,,,,,,✓,✓,
OpenAI 2025/2026,Codex * [37],>10,✓,✓,✓,,,,✓,✓,✓,,
Google 2025/2026,Gemini Robotics * [38],>5,✓,✓,✓,,✓,✓,✓,✓,✓,,✓
Google 2025/2026,Gemini * [39],>10,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,
Anthropic 2025/2026,Claude * [40],>5,✓,✓,✓,,✓,✓,,✓,✓,✓,
AAAI 2026,ToolACE-R [7],>10,✓,✓,,,,,,,,,
ICLR 2026,AgentFlow [6],5,✓,✓,✓,,,,,✓,✓,,
OpenClaw 2026,OpenClaw * [41],>3,✓,✓,✓,,,,,,,✓,
